p0,p1,p2,p3,p4,objective,elapsed_sec
1,5760000,55500,70000, -Dqueueless=off ,-299743.0,120.83407855033875
1,1440000,74300,28000, -Dqueueless=on ,-270545.0,253.51099920272827
4,320000,74000,78000, -Dqueueless=on ,-297180.0,370.5107295513153
2,7300000,39400,87000, -Dqueueless=off ,-335752.0,490.90904116630554
3,3580000,93500,3000, -Dqueueless=on ,-295966.0,618.3239877223969
2,4780000,46400,21000, -Dqueueless=on ,-297556.0,734.6802387237549
2,1050000,41500,93000, -Dqueueless=off ,-334974.0,855.6371071338654
4,5460000,24000,77000, -Dqueueless=off ,-344553.0,935.4074897766113
3,7980000,12400,87000, -Dqueueless=off ,-339663.0,1064.9657299518585
3,6680000,10100,74000, -Dqueueless=off ,-329522.0,1200.8635289669037
4,6730000,31800,100000, -Dqueueless=on ,-294338.0,1319.8440997600555
1,7910000,3200,91000, -Dqueueless=off ,-283089.0,1436.4421248435974
4,7140000,21400,89000, -Dqueueless=off ,-341964.0,1574.0458762645721
4,7490000,25900,85000, -Dqueueless=off ,-339431.0,1707.069445848465
4,7410000,19200,89000, -Dqueueless=off ,-342376.0,1833.9915585517883
4,7370000,12400,90000, -Dqueueless=off ,-331378.0,1982.6111838817596
4,7850000,27400,68000, -Dqueueless=off ,-336121.0,2113.2080709934235
4,7640000,19400,93000, -Dqueueless=off ,-337414.0,2242.020507335663
1,7760000,24500,87000, -Dqueueless=off ,-300624.0,2362.3193118572235
4,1870000,21800,88000, -Dqueueless=off ,-332580.0,2486.1137948036194
4,7770000,20900,56000, -Dqueueless=off ,-335024.0,2613.2743623256683
4,7560000,28200,50000, -Dqueueless=off ,-336620.0,2745.737021446228
3,7700000,21600,38000, -Dqueueless=off ,-336054.0,2888.536354780197
4,7740000,23300,100000, -Dqueueless=off ,-335426.0,3017.606891155243
4,5430000,29600,85000, -Dqueueless=off ,-336275.0,3144.3703587055206
4,7510000,31200,86000, -Dqueueless=off ,-340835.0,3254.475709915161
3,7480000,26000,84000, -Dqueueless=off ,-340086.0,3395.1702201366425
3,7510000,36800,80000, -Dqueueless=off ,-344583.0,3531.5458822250366
3,7550000,38700,79000, -Dqueueless=off ,-347675.0,3669.3284056186676
3,7530000,98000,79000, -Dqueueless=off ,-345028.0,3822.746258497238
3,7530000,45300,77000, -Dqueueless=off ,-346406.0,3956.5978198051453
3,7510000,45500,73000, -Dqueueless=off ,-345864.0,4088.606395483017
4,7520000,78400,75000, -Dqueueless=off ,-333084.0,4228.97055888176
3,7430000,69900,77000, -Dqueueless=off ,-346553.0,4376.287389755249
3,7250000,67900,79000, -Dqueueless=off ,-344582.0,4504.096785783768
3,7870000,48000,80000, -Dqueueless=off ,-345236.0,4653.250053167343
3,7800000,75200,77000, -Dqueueless=off ,-342962.0,4792.055939912796
3,6400000,52500,78000, -Dqueueless=off ,-345426.0,4941.088358163834
3,6330000,68600,78000, -Dqueueless=off ,-344087.0,5082.01046705246
3,5580000,45700,81000, -Dqueueless=off ,-340717.0,5224.344979524612
3,6650000,40800,78000, -Dqueueless=off ,-339646.0,5363.52260518074
3,4730000,55500,78000, -Dqueueless=off ,-346041.0,5503.629182338715
3,4210000,58500,78000, -Dqueueless=off ,-337903.0,5641.831668615341
3,7830000,94900,77000, -Dqueueless=off ,-336831.0,5783.457931280136
3,3790000,54600,78000, -Dqueueless=off ,-345500.0,5932.228954792023
3,2480000,52200,79000, -Dqueueless=off ,-341361.0,6067.642395973206
3,7530000,55600,7000, -Dqueueless=off ,-347568.0,6209.512664079666
2,7590000,51000,80000, -Dqueueless=off ,-333338.0,6349.614562511444
3,7210000,54500,44000, -Dqueueless=off ,-340679.0,6470.836953639984
3,7540000,60500,27000, -Dqueueless=off ,-345202.0,6588.539979457855
3,7360000,56500,24000, -Dqueueless=off ,-341182.0,6724.358480453491
3,7540000,72500,5000, -Dqueueless=off ,-345094.0,6848.221395254135
3,7610000,68500,4000, -Dqueueless=off ,-340691.0,6980.2745633125305
3,220000,68100,77000, -Dqueueless=off ,-329344.0,7109.763617277145
3,7540000,92600,9000, -Dqueueless=off ,-344912.0,7231.716540813446
2,7540000,59600,69000, -Dqueueless=off ,-334418.0,7352.5998549461365
3,7550000,52700,19000, -Dqueueless=off ,-341900.0,7476.558225154877
3,7510000,90000,93000, -Dqueueless=off ,-341989.0,7623.221383810043
3,4920000,51100,4000, -Dqueueless=off ,-335810.0,7771.979226112366
3,6270000,65300,99000, -Dqueueless=off ,-344330.0,7905.451045036316
3,6490000,71900,93000, -Dqueueless=off ,-338026.0,8040.653938293457
3,5890000,67700,97000, -Dqueueless=off ,-343951.0,8171.953531742096
3,6180000,62500,100000, -Dqueueless=off ,-344960.0,8302.839988946915
3,7640000,67300,100000, -Dqueueless=off ,-342440.0,8440.786641836166
4,6200000,66500,98000, -Dqueueless=off ,-346273.0,8560.936524391174
3,3640000,63400,78000, -Dqueueless=off ,-338103.0,8694.421068191528
3,5420000,61500,100000, -Dqueueless=off ,-343360.0,8841.10726904869
4,6040000,66800,99000, -Dqueueless=off ,-339519.0,8964.932993412018
3,6310000,88000,100000, -Dqueueless=off ,-336725.0,9111.109556913376
2,7500000,69200,63000, -Dqueueless=off ,-335326.0,9250.829230308533
4,7540000,53300,75000, -Dqueueless=off ,-336966.0,9383.486607313156
3,2500000,54700,89000, -Dqueueless=off ,-341501.0,9503.654745340347
3,7430000,46900,4000, -Dqueueless=off ,-335676.0,9657.343943595886
3,6290000,30700,100000, -Dqueueless=off ,-343797.0,9790.520646810532
3,7510000,34200,31000, -Dqueueless=off ,-342933.0,9931.539633750916
3,7970000,32700,43000, -Dqueueless=off ,-344096.0,10058.867660999298
3,7610000,31800,77000, -Dqueueless=off ,-340731.0,10187.194534540176
3,6190000,32000,98000, -Dqueueless=off ,-344308.0,10279.131217718124
3,3160000,31800,52000, -Dqueueless=off ,-334683.0,10410.085292339325
3,3380000,54800,78000, -Dqueueless=off ,-342396.0,10537.037792682648
3,7530000,79700,9000, -Dqueueless=off ,-343432.0,10666.969507217407
4,4830000,52300,100000, -Dqueueless=off ,0.0,10772.509908437729
