p0,p1,p2,p3,objective,elapsed_sec
1362,46,thread_limit(128) ,192,-17.161217161217163,287.0894773006439
2370,44,thread_limit(128) ,256,-27.909934523529135,600.1298060417175
723,57,thread_limit(192) ,128,-7.7580101723286905,916.2764699459076
4138,11,thread_limit(192) ,256,-51.3055769087708,1234.6959021091461
668,17,thread_limit(128) ,384,-23.59923691090228,1362.5233669281006
2056,37,thread_limit(256) ,192,-29.22904138411453,1636.3151307106018
2487,59,thread_limit(256) ,192,-22.081150670336502,2023.9991776943207
4658,35,thread_limit(256) ,512,-48.86133576695933,2395.854738712311
2453,18,thread_limit(64) ,384,-48.77030439191204,2597.670223712921
3810,4,thread_limit(256) ,768,-35.1216814159292,2972.84907579422
3413,14,thread_limit(256) ,512,-51.096638969982784,3231.2914419174194
3028,20,,1024,-49.82557756861713,3465.941953897476
3510,24,thread_limit(64) ,256,-50.187308759186706,3745.565634727478
3422,24,thread_limit(128) ,512,-49.72897562960487,4011.6707696914673
3334,27,thread_limit(192) ,512,-48.229371600509204,4290.113231182098
2789,29,thread_limit(192) ,512,-42.982415584015286,4542.554451227188
3389,15,thread_limit(192) ,192,-51.095330709967286,4807.974310874939
3396,48,thread_limit(192) ,512,-33.82133253659994,5178.30327963829
3387,16,thread_limit(128) ,256,-51.82147829679157,5443.297383308411
3372,2,,256,-18.299234818472893,5960.556111574173
3460,17,thread_limit(64) ,256,-51.787104113033585,6226.2348663806915
3604,16,,256,-51.49748513946045,6507.939275026321
3804,13,,256,-51.73328256109668,6794.76328253746
4262,16,,256,-51.900923061935266,7106.43797659874
3626,15,thread_limit(64) ,256,-51.87484799496416,7375.420729160309
4069,16,,256,-52.03324808184143,7678.714515686035
3902,15,,256,-51.53536287393515,7975.248039960861
3659,15,,256,-51.21350390504717,8265.201187372208
4357,14,,256,-52.2660204889518,8579.644408464432
4110,14,,256,-52.26214999618525,8882.789191961288
4075,13,,256,-51.627370741533746,9194.962326526642
4852,13,,256,-52.40363326097053,9578.162355184555
4835,13,,256,-52.56348930248739,9934.14217042923
4655,13,,256,-52.28046137085996,10269.644609689713
4881,13,thread_limit(128) ,256,-52.22890405975132,10628.268947601318
4706,13,thread_limit(192) ,256,0.0,10799.274199962616
